file_path,classification,duration_sec,num_transients,bpm
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/054 AT Hypnosis Drum - Emphasis 137 Strp.wav,Loop,7.01,63,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/030 AT Hypnosis Drum - Threshold 137 Strp.wav,Loop,7.01,52,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/098 AT Hypnosis Drum - Insert 137 Hat.wav,Loop,7.01,63,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/044 AT Hypnosis Drum - Bullet 137 Hat.wav,Loop,7.01,17,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/153 AT Hypnosis Drum - Response 137 Kick.wav,Loop,7.01,15,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/138 AT Hypnosis Drum - Sector 137 Strp.wav,Loop,7.01,39,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/097 AT Hypnosis Drum - Insert 137 Full.wav,Loop,7.01,63,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/013 AT Hypnosis Drum - Input 137 Full.wav,Loop,7.01,64,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/023 AT Hypnosis Drum - Void 137 Perc.wav,Loop,7.01,36,68.91
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/202 AT Hypnosis Drum - Resonator 137 No Kick.wav,Loop,7.01,56,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/060 AT Hypnosis Drum - Optic 137 Strp.wav,Loop,7.01,59,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/006 AT Hypnosis Drum - Tube 137 Strp.wav,Loop,7.01,38,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/015 AT Hypnosis Drum - Input 137 Kick.wav,Loop,7.01,15,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/094 AT Hypnosis Drum - Trigger 137 No Kick.wav,Loop,7.01,40,136.0
